date ,Consomation eletric
2019-01-01 00:00:00,63028
2019-08-01 00:00:00,72241
01/15/2019,71740
01/22/2019,77543
01/29/2019,76566
2019-05-02 00:00:00,74125
2019-12-02 00:00:00,72447
02/19/2019,66574
02/26/2019,59697
2019-04-03 00:00:00,63634
2019-11-03 00:00:00,64366
03/18/2019,64717
03/25/2019,60349
2019-01-04 00:00:00,53622
2019-08-04 00:00:00,57877
04/15/2019,57859
04/22/2019,46378
04/29/2019,53467
2019-06-05 00:00:00,56216
05/13/2019,51563
05/20/2019,51007
05/27/2019,48671
2019-05-06 00:00:00,48278
2019-12-06 00:00:00,49608
06/19/2019,48517
06/26/2019,53045
2019-03-07 00:00:00,50882
2019-10-07 00:00:00,50716
07/17/2019,50408
07/24/2019,53679
07/31/2019,47225
2019-07-08 00:00:00,45525
08/14/2019,43703
08/21/2019,45883
08/28/2019,49075
2019-04-09 00:00:00,47668
2019-11-09 00:00:00,47833
09/18/2019,47459
09/25/2019,47705
2019-02-10 00:00:00,49257
2019-09-10 00:00:00,50831
10/16/2019,50705
10/23/2019,52895
10/30/2019,55278
2019-07-11 00:00:00,62894
11/14/2019,70187
11/21/2019,63661
11/28/2019,62764
2019-04-12 00:00:00,69418
2019-11-12 00:00:00,66934
12/18/2019,59900
12/25/2019,59022
12/31/2019,72421
2020-01-01 00:00:00,63989
2020-08-01 00:00:00,63686
01/15/2020,74090
01/22/2020,74090
01/29/2020,67779
2020-05-02 00:00:00,67491
2020-12-02 00:00:00,65869
02/19/2020,64254
02/26/2020,67527
2020-04-03 00:00:00,65112
2020-11-03 00:00:00,56987
03/18/2020,51376
03/25/2020,55032
2020-01-04 00:00:00,54361
2020-08-04 00:00:00,45590
04/15/2020,46284
04/22/2020,45506
04/29/2020,46765
2020-06-05 00:00:00,44570
05/13/2020,48313
05/20/2020,44351
05/27/2020,44925
2020-05-06 00:00:00,44920
2020-12-06 00:00:00,45440
06/19/2020,45776
06/26/2020,46793
2020-03-07 00:00:00,46422
2020-10-07 00:00:00,47582
07/17/2020,47672
07/24/2020,47774
07/31/2020,48340
2020-07-08 00:00:00,46609
08/14/2020,44345
08/21/2020,46167
08/28/2020,44992
2020-04-09 00:00:00,46301
2020-11-09 00:00:00,45868
09/18/2020,46267
09/25/2020,47185
2020-02-10 00:00:00,50609
2020-09-10 00:00:00,49959
10/16/2020,50585
10/23/2020,50929
10/30/2020,51925
2020-07-11 00:00:00,48610
11/14/2020,50459
11/21/2020,59020
11/28/2020,61444
2020-04-12 00:00:00,66052
2020-11-12 00:00:00,61549
12/18/2020,58264
12/25/2020,63772
12/31/2020,69126
2021-01-01 00:00:00,64055
2021-08-01 00:00:00,85629
01/15/2021,78018
01/22/2021,73288
01/29/2021,66430
2021-05-02 00:00:00,66917
2021-12-02 00:00:00,85580
02/19/2021,67663
02/26/2021,61166
2021-04-03 00:00:00,61892
2021-11-03 00:00:00,62692
03/18/2021,66928
03/25/2021,59061
2021-01-04 00:00:00,52036
2021-08-04 00:00:00,64855
04/15/2021,62531
04/22/2021,54202
04/29/2021,55106
2021-06-05 00:00:00,58151
05/13/2021,46394
05/20/2021,54213
05/27/2021,52950
2021-05-06 00:00:00,43030
2021-12-06 00:00:00,44193
06/19/2021,44416
06/26/2021,43196
2021-03-07 00:00:00,44437
2021-10-07 00:00:00,44436
07/17/2021,43667
07/24/2021,44387
07/31/2021,42865
2021-07-08 00:00:00,40307
08/14/2021,42426
08/21/2021,41965
08/28/2021,42537
2021-04-09 00:00:00,43979
2021-11-09 00:00:00,43799
09/18/2021,43829
09/25/2021,44192
2021-02-10 00:00:00,45779
2021-09-10 00:00:00,47795
10/16/2021,51362
10/23/2021,52089
10/30/2021,50875
2021-07-11 00:00:00,55570
11/14/2021,53111
11/21/2021,59937
11/28/2021,67764
2021-04-12 00:00:00,62916
2021-11-12 00:00:00,70164
12/18/2021,67745
12/25/2021,55580
12/31/2021,56614
2022-01-01 00:00:00,49311
2022-08-01 00:00:00,66705
01/15/2022,77148
01/22/2022,74219
01/29/2022,69899
